config,base_k,boosted_k,scale,provisional_fights,model,fold,n,log_loss,brier_score,accuracy,roc_auc
baseline_v0.1,32.0,64.0,400.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
baseline_v0.1,32.0,64.0,400.0,3,elo,test (simple split),3872,0.6824889387683581,0.24475483013795207,0.5506198347107438,0.5558998868813715
baseline_v0.1,32.0,64.0,400.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
baseline_v0.1,32.0,64.0,400.0,3,elo,2011-01-01→2014-01-01,1004,0.6841422575656468,0.24556407504541114,0.5657370517928287,0.5457052274264562
baseline_v0.1,32.0,64.0,400.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
baseline_v0.1,32.0,64.0,400.0,3,elo,2014-01-01→2017-01-01,1441,0.679302965170477,0.24319640823055114,0.5815405968077724,0.5644829535658582
baseline_v0.1,32.0,64.0,400.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
baseline_v0.1,32.0,64.0,400.0,3,elo,2017-01-01→2020-01-01,1421,0.6890336778525024,0.24792646711665065,0.5376495425756509,0.5399474243974876
baseline_v0.1,32.0,64.0,400.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
baseline_v0.1,32.0,64.0,400.0,3,elo,2020-01-01→2023-01-01,1447,0.6796898787072947,0.24335410812924363,0.5694540428472702,0.5638332377430136
baseline_v0.1,32.0,64.0,400.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
baseline_v0.1,32.0,64.0,400.0,3,elo,2023-01-01→2026-01-01,1532,0.6795428804914784,0.24337446564853005,0.5515665796344648,0.5696873375956297
baseline_v0.1,32.0,64.0,400.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
baseline_v0.1,32.0,64.0,400.0,3,elo,2026-01-01→2029-01-01,387,0.6822380806765208,0.24450924905214833,0.5400516795865633,0.566014802009616
baseline_v0.1,32.0,64.0,400.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
baseline_v0.1,32.0,64.0,400.0,3,elo,pooled test,7232,0.6821720603234493,0.24459402939689193,0.5597345132743363,0.557361668389967
k_menor_16_32,16.0,32.0,400.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
k_menor_16_32,16.0,32.0,400.0,3,elo,test (simple split),3872,0.6854589803135912,0.24618151051975656,0.5506198347107438,0.5506762195116969
k_menor_16_32,16.0,32.0,400.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
k_menor_16_32,16.0,32.0,400.0,3,elo,2011-01-01→2014-01-01,1004,0.6863149870574962,0.24660825997896507,0.5647410358565738,0.5430037472144875
k_menor_16_32,16.0,32.0,400.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
k_menor_16_32,16.0,32.0,400.0,3,elo,2014-01-01→2017-01-01,1441,0.683648954733417,0.24528305475872314,0.5725190839694656,0.561108950430421
k_menor_16_32,16.0,32.0,400.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
k_menor_16_32,16.0,32.0,400.0,3,elo,2017-01-01→2020-01-01,1421,0.6893016182565094,0.2480835358473776,0.5341308937368051,0.5329038990227359
k_menor_16_32,16.0,32.0,400.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
k_menor_16_32,16.0,32.0,400.0,3,elo,2020-01-01→2023-01-01,1447,0.6840775226312453,0.24549158784130964,0.5673807878369039,0.5577714929889445
k_menor_16_32,16.0,32.0,400.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
k_menor_16_32,16.0,32.0,400.0,3,elo,2023-01-01→2026-01-01,1532,0.6839470912760623,0.2454402290603922,0.5502610966057441,0.5635546032628495
k_menor_16_32,16.0,32.0,400.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
k_menor_16_32,16.0,32.0,400.0,3,elo,2026-01-01→2029-01-01,387,0.6840282363767182,0.24545259117863294,0.5452196382428941,0.5676354599967588
k_menor_16_32,16.0,32.0,400.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
k_menor_16_32,16.0,32.0,400.0,3,elo,pooled test,7232,0.6852989542144924,0.24610138145441804,0.5566924778761062,0.5525764221932848
k_menor_24_48,24.0,48.0,400.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
k_menor_24_48,24.0,48.0,400.0,3,elo,test (simple split),3872,0.6835421296706674,0.2452542591607188,0.5511363636363636,0.5534700017731815
k_menor_24_48,24.0,48.0,400.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
k_menor_24_48,24.0,48.0,400.0,3,elo,2011-01-01→2014-01-01,1004,0.6848090211803549,0.2458792143242152,0.5657370517928287,0.5443067653197996
k_menor_24_48,24.0,48.0,400.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
k_menor_24_48,24.0,48.0,400.0,3,elo,2014-01-01→2017-01-01,1441,0.680999473948685,0.2439998389258943,0.5739070090215128,0.562983396616775
k_menor_24_48,24.0,48.0,400.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
k_menor_24_48,24.0,48.0,400.0,3,elo,2017-01-01→2020-01-01,1421,0.6888600894698735,0.24785985208146014,0.5348346235045742,0.5367186402584632
k_menor_24_48,24.0,48.0,400.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
k_menor_24_48,24.0,48.0,400.0,3,elo,2020-01-01→2023-01-01,1447,0.6814226333115867,0.24419572518572794,0.5680718728403593,0.5607677550778237
k_menor_24_48,24.0,48.0,400.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
k_menor_24_48,24.0,48.0,400.0,3,elo,2023-01-01→2026-01-01,1532,0.6813205751090607,0.24418677220186566,0.5535248041775457,0.5668695947940819
k_menor_24_48,24.0,48.0,400.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
k_menor_24_48,24.0,48.0,400.0,3,elo,2026-01-01→2029-01-01,387,0.6824688418978608,0.24466782319077468,0.5400516795865633,0.5669601858354492
