fight_id,event_id,event_name,bout,weight_class,method,ending_round,ending_time,time_format,referee,details,fight_duration_seconds,fighter_id,fighter_name,opponent_id,opponent_name,result,opponent_result,significant_strikes_landed,significant_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,knockdowns,submission_attempts,reversals,control_time_seconds,rounds_with_stats,significant_strikes_pct,takedown_pct
002921976d27b7da,d4a12dfa4067742f,UFC on FOX: Dos Santos vs Miocic,Alistair Overeem vs. Stefan Struve,Heavyweight Bout,KO/TKO ,1,4:13,3 Rnd (5-5-5),John McCarthy,Punch to Head On Ground ,253,b4ad3a06ee4d660c,Alistair Overeem,ebc1f40e00e0c481,Stefan Struve,W,L,17.0,25.0,24.0,32.0,1.0,2.0,12.0,18.0,5.0,6.0,0.0,1.0,0.0,2.0,3.0,3.0,14.0,20.0,0.0,0.0,0.0,161.0,1.0,68.0,50.0
002921976d27b7da,d4a12dfa4067742f,UFC on FOX: Dos Santos vs Miocic,Alistair Overeem vs. Stefan Struve,Heavyweight Bout,KO/TKO ,1,4:13,3 Rnd (5-5-5),John McCarthy,Punch to Head On Ground ,253,ebc1f40e00e0c481,Stefan Struve,b4ad3a06ee4d660c,Alistair Overeem,L,W,2.0,5.0,4.0,7.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,
002c1562708ac307,9ca265dfe8323db3,UFC 173: Barao vs Dillashaw,Tony Ferguson vs. Katsunori Kikuno,Lightweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance ,246,22a92d7f62195791,Tony Ferguson,44470bfd9483c7ad,Katsunori Kikuno,W,L,38.0,67.0,40.0,69.0,1.0,2.0,35.0,63.0,1.0,2.0,2.0,2.0,37.0,66.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,37.0,1.0,56.71641791044776,50.0
002c1562708ac307,9ca265dfe8323db3,UFC 173: Barao vs Dillashaw,Tony Ferguson vs. Katsunori Kikuno,Lightweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance ,246,44470bfd9483c7ad,Katsunori Kikuno,22a92d7f62195791,Tony Ferguson,L,W,22.0,44.0,23.0,46.0,0.0,0.0,17.0,37.0,4.0,5.0,1.0,2.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,50.0,
002cb1bb411c5f60,0e9869d712e81f8f,UFC 58: USA vs Canada,Rich Franklin vs. David Loiseau,UFC Middleweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Nelson Hamilton 43 - 50.Jeff Mullen 42 - 50.Dalby Shirley 42 - 50.,300,22e47b53e4ceb27c,David Loiseau,d897897060f10a3a,Rich Franklin,L,W,21.0,72.0,26.0,78.0,1.0,1.0,11.0,57.0,10.0,15.0,0.0,0.0,17.0,63.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,15.0,5.0,29.166666666666668,100.0
002cb1bb411c5f60,0e9869d712e81f8f,UFC 58: USA vs Canada,Rich Franklin vs. David Loiseau,UFC Middleweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Nelson Hamilton 43 - 50.Jeff Mullen 42 - 50.Dalby Shirley 42 - 50.,300,d897897060f10a3a,Rich Franklin,22e47b53e4ceb27c,David Loiseau,W,L,127.0,244.0,211.0,339.0,5.0,6.0,82.0,190.0,42.0,51.0,3.0,3.0,74.0,172.0,32.0,46.0,21.0,26.0,2.0,0.0,1.0,519.0,5.0,52.04918032786885,83.33333333333334
0031c043c9f14eb8,cfb65863d5099327,UFC 115: Liddell vs Franklin,Carlos Condit vs. Rory MacDonald,Welterweight Bout,KO/TKO ,3,4:53,3 Rnd (5-5-5),Kevin Dornan,Punches to Head From Half Guard ,293,cbd5d3cdd862e90e,Rory MacDonald,f9f07bb5a43535ed,Carlos Condit,L,W,29.0,70.0,40.0,82.0,3.0,8.0,22.0,60.0,4.0,7.0,3.0,3.0,20.0,53.0,7.0,11.0,2.0,6.0,0.0,0.0,1.0,229.0,3.0,41.42857142857143,37.5
0031c043c9f14eb8,cfb65863d5099327,UFC 115: Liddell vs Franklin,Carlos Condit vs. Rory MacDonald,Welterweight Bout,KO/TKO ,3,4:53,3 Rnd (5-5-5),Kevin Dornan,Punches to Head From Half Guard ,293,f9f07bb5a43535ed,Carlos Condit,cbd5d3cdd862e90e,Rory MacDonald,W,L,72.0,170.0,149.0,261.0,0.0,2.0,43.0,124.0,10.0,22.0,19.0,24.0,32.0,101.0,11.0,24.0,29.0,45.0,0.0,1.0,1.0,247.0,3.0,42.35294117647059,0.0
003c84fc7c3fa028,351264d11286d09a,UFC Fight Night: Iaquinta vs. Cowboy,Nordine Taleb vs. Kyle Prepolec,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Saleem Haniff 27 - 30.Jason Rodgers 27 - 30.Eric Colon 27 - 30.,300,49858bf46dabf6fb,Nordine Taleb,873626e5547b5235,Kyle Prepolec,W,L,90.0,201.0,90.0,201.0,0.0,0.0,32.0,125.0,27.0,39.0,31.0,37.0,89.0,199.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,44.776119402985074,
003c84fc7c3fa028,351264d11286d09a,UFC Fight Night: Iaquinta vs. Cowboy,Nordine Taleb vs. Kyle Prepolec,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Saleem Haniff 27 - 30.Jason Rodgers 27 - 30.Eric Colon 27 - 30.,300,873626e5547b5235,Kyle Prepolec,49858bf46dabf6fb,Nordine Taleb,L,W,52.0,153.0,53.0,154.0,0.0,2.0,27.0,113.0,22.0,30.0,3.0,10.0,51.0,151.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.98692810457516,0.0
00414fc5519233b4,daff32bc96d1eabf,UFC 309: Jones vs. Miocic,Mickey Gall vs. Ramiz Brahimaj,Welterweight Bout,KO/TKO ,1,2:55,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance ,175,3d074044a33825e7,Ramiz Brahimaj,9e50097a89442158,Mickey Gall,W,L,31.0,56.0,31.0,56.0,0.0,0.0,27.0,50.0,1.0,3.0,3.0,3.0,22.0,43.0,6.0,9.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,55.35714285714286,
00414fc5519233b4,daff32bc96d1eabf,UFC 309: Jones vs. Miocic,Mickey Gall vs. Ramiz Brahimaj,Welterweight Bout,KO/TKO ,1,2:55,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance ,175,9e50097a89442158,Mickey Gall,3d074044a33825e7,Ramiz Brahimaj,L,W,28.0,41.0,30.0,43.0,0.0,0.0,25.0,38.0,3.0,3.0,0.0,0.0,26.0,39.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.29268292682927,
0047f8aadca1936f,30ad2050273d016a,UFC 325: Volkanovski vs. Lopes 2,Jacob Malkoun vs. Torrez Finney,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Perceval,Ben Cartlidge 26 - 30.Sal D'amato 27 - 30.Charlie Keech 26 - 30.,300,d4270315cbcf2569,Jacob Malkoun,fbb60f24af5d5a02,Torrez Finney,W,L,117.0,181.0,151.0,219.0,2.0,8.0,115.0,179.0,2.0,2.0,0.0,0.0,97.0,153.0,4.0,5.0,16.0,23.0,1.0,3.0,0.0,316.0,3.0,64.64088397790056,25.0
0047f8aadca1936f,30ad2050273d016a,UFC 325: Volkanovski vs. Lopes 2,Jacob Malkoun vs. Torrez Finney,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Perceval,Ben Cartlidge 26 - 30.Sal D'amato 27 - 30.Charlie Keech 26 - 30.,300,fbb60f24af5d5a02,Torrez Finney,d4270315cbcf2569,Jacob Malkoun,L,W,27.0,77.0,42.0,95.0,0.0,1.0,25.0,73.0,2.0,4.0,0.0,0.0,25.0,74.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,35.064935064935064,0.0
