model,fold,feature,coefficient,abs_coefficient
M5_Performance_Only,2011-2014,sig_str_pct_difference,0.05266833114941611,0.05266833114941611
M5_Performance_Only,2011-2014,total_str_landed_per_fight_difference,0.24540603376176992,0.24540603376176992
M5_Performance_Only,2011-2014,total_str_attempted_per_fight_difference,-0.5263345504007713,0.5263345504007713
M5_Performance_Only,2011-2014,takedowns_per_fight_difference,0.095623207922968,0.095623207922968
M5_Performance_Only,2011-2014,td_attempted_per_fight_difference,0.11258593982405686,0.11258593982405686
M5_Performance_Only,2011-2014,td_pct_difference,0.0482700399866539,0.0482700399866539
M5_Performance_Only,2011-2014,submission_attempts_per_fight_difference,0.06878291230838775,0.06878291230838775
M5_Performance_Only,2011-2014,reversals_per_fight_difference,-0.11122240376357967,0.11122240376357967
M5_Performance_Only,2011-2014,knockdowns_per_fight_difference,0.08102791681735017,0.08102791681735017
M5_Performance_Only,2011-2014,control_time_per_fight_difference,0.07499161715821372,0.07499161715821372
M5_Performance_Only,2011-2014,sig_str_landed_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,sig_str_attempted_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,sig_str_pct_difference__missing,-0.08203367388199627,0.08203367388199627
M5_Performance_Only,2011-2014,total_str_landed_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,total_str_attempted_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,takedowns_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,td_attempted_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,td_pct_difference__missing,-0.09649073119760247,0.09649073119760247
M5_Performance_Only,2011-2014,submission_attempts_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,reversals_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,knockdowns_per_fight_difference__missing,-0.013875103519980706,0.013875103519980706
M5_Performance_Only,2011-2014,control_time_per_fight_difference__missing,0.2660711961340099,0.2660711961340099
M1_Elo_Striking,2014-2017,elo_difference,0.3459029717892673,0.3459029717892673
M1_Elo_Striking,2014-2017,sig_str_landed_per_fight_difference,0.12887514478851905,0.12887514478851905
M1_Elo_Striking,2014-2017,sig_str_attempted_per_fight_difference,0.17117552427845112,0.17117552427845112
M1_Elo_Striking,2014-2017,sig_str_pct_difference,0.036124126046702836,0.036124126046702836
M1_Elo_Striking,2014-2017,total_str_landed_per_fight_difference,0.16110355955861155,0.16110355955861155
M1_Elo_Striking,2014-2017,total_str_attempted_per_fight_difference,-0.31117476148172996,0.31117476148172996
M1_Elo_Striking,2014-2017,sig_str_landed_per_fight_difference__missing,0.03839971464890594,0.03839971464890594
M1_Elo_Striking,2014-2017,sig_str_attempted_per_fight_difference__missing,0.03839971464890594,0.03839971464890594
M1_Elo_Striking,2014-2017,sig_str_pct_difference__missing,-0.17970537951577478,0.17970537951577478
M1_Elo_Striking,2014-2017,total_str_landed_per_fight_difference__missing,0.03839971464890573,0.03839971464890573
