config,half_life_years,log_loss,brier_score,roc_auc,accuracy
half_life_5y,5,0.6791365407969285,0.24305821072728884,0.5891652443067372,0.5782632743362832
half_life_4y,4,0.6794182720639153,0.24319283517811344,0.5916954177464251,0.5810287610619469
half_life_3y,3,0.68008733538219,0.24351893056354887,0.5927235163639031,0.5796460176991151
half_life_2y,2,0.681600363750451,0.24426318912042688,0.5913038619571751,0.5735619469026548
baseline,,0.6821720603234493,0.24459402939689193,0.557361668389967,0.5597345132743363
half_life_1y,1,0.6851722891275863,0.2460296286597535,0.582618114689851,0.5622234513274337
